Gene ID	Gene Name	Description	GO	KEGG	NFkB	ReactomePathway	ReactomeReaction
SDF2	SDF2	Stromal cell-derived factor 2	GO:0004169 GO:0005615 GO:0006486 GO:0016020 	 	 	 	 
SAFB2	SAFB2	none	 	 	 	 	 
PPP2R5A	PPP2R5A	"Protein phosphatase 2, regulatory subunit B (B56), alpha isoform"	GO:0000159 GO:0005515 GO:0005737 GO:0007165 GO:0008601 	 	 	 	 
RGL2	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	GO:0005085 GO:0005088 GO:0005622 GO:0007218 GO:0007264 GO:0007265 GO:0008372 GO:0051056 	 	 	 	 
KIAA0140	KIAA0140	none	 	 	 	 	 
FALZ	FALZ	Fetal Alzheimer antigen	GO:0000122 GO:0005515 GO:0005634 GO:0005737 GO:0006338 GO:0006355 GO:0007420 GO:0008094 GO:0008134 GO:0008270 GO:0030528 GO:0043193 GO:0046872 	 	 	 	 
FYB	FYB	FYN binding protein (FYB-120/130)	GO:0000004 GO:0005102 GO:0005515 GO:0005634 GO:0006468 GO:0006607 GO:0006955 GO:0007165 GO:0007243 GO:0015629 GO:0045576 	 	 	 	 
HNMT	HNMT	Histamine N-methyltransferase	GO:0001505 GO:0007585 GO:0008168 GO:0008170 GO:0008757 GO:0016740 GO:0046539 	hsa00340 	RelB_(+LPS)	 	 
ADCY7	ADCY7	Adenylate cyclase 7	GO:0000287 GO:0004016 GO:0005886 GO:0005887 GO:0006171 GO:0007190 GO:0007242 GO:0016021 	hsa00230 hsa04020 hsa04540 hsa04912 	 	 	 
SCA1	SCA1	none	 	 	 	 	 
HADHSC	HADHSC	"L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain"	GO:0003857 GO:0005739 GO:0005743 GO:0006629 GO:0006631 GO:0016491 	hsa00062 hsa00071 hsa00280 hsa00310 hsa00380 hsa00650 hsa00930 	 	71064 71291 73923 77286 77289 77310 77346 77348 77350 77352 	77254 77312 77323 77331 77342 
SLC23A2	SLC23A2	"Solute carrier family 23 (nucleobase transporters), member 2"	GO:0005215 GO:0005624 GO:0005887 GO:0006139 GO:0006810 GO:0006811 GO:0006814 GO:0008520 GO:0008523 GO:0015205 GO:0015293 GO:0015851 GO:0015993 GO:0016020 GO:0016021 GO:0019852 GO:0031402 	 	 	 	 
ALDH3A2	ALDH3A2	"Aldehyde dehydrogenase 3 family, member A2"	GO:0004028 GO:0004029 GO:0004030 GO:0005743 GO:0005783 GO:0005792 GO:0006081 GO:0006629 GO:0007417 GO:0007422 GO:0008152 GO:0008544 GO:0016020 GO:0016021 GO:0016491 	hsa00010 hsa00053 hsa00071 hsa00120 hsa00280 hsa00310 hsa00330 hsa00340 hsa00380 hsa00410 hsa00561 hsa00620 hsa00640 hsa00650 hsa00903 	 	 	 
HK3	HK3	Hexokinase 3 (white cell)	GO:0000166 GO:0004396 GO:0005524 GO:0006096 GO:0016020 GO:0016301 GO:0016740 	hsa00010 hsa00051 hsa00052 hsa00500 hsa00521 hsa00530 	 	70114 70153 70326 71387 71408 	70414
PYGL	PYGL	"Phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)"	GO:0000166 GO:0005975 GO:0005977 GO:0008184 GO:0016757 GO:0030170 	hsa00500 hsa04910 	 	70172 70182 70216 70221 70326 71387 71408 	71588 71590 71591 71595 71596 
MXI1	MXI1	MAX interactor 1	GO:0000122 GO:0003677 GO:0003714 GO:0005515 GO:0005634 GO:0006355 GO:0008285 GO:0016564 GO:0030528 GO:0042994 GO:0045449 	 	 	 	 
EGR2	EGR2	"Early growth response 2 (Krox-20 homolog, Drosophila)"	GO:0003700 GO:0005515 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0007420 GO:0007422 GO:0007622 GO:0007638 GO:0008270 GO:0042552 GO:0046872 	 	 	 	 
EVI2B	EVI2B	Ecotropic viral integration site 2B	GO:0005887 GO:0016020 GO:0016021 	 	 	 	 
LTA4H	LTA4H	Leukotriene A4 hydrolase	GO:0004179 GO:0004301 GO:0006508 GO:0006954 GO:0008233 GO:0008237 GO:0008270 GO:0019370 GO:0046872 	hsa00590 	 	 	 
LILRA2	LILRA2	"Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2"	GO:0003823 GO:0004872 GO:0006955 GO:0007165 GO:0016020 GO:0016021 	 	 	 	 
GALC	GALC	Galactosylceramidase	GO:0004336 GO:0005764 GO:0005975 GO:0006683 GO:0016798 	hsa00600 	 	 	 
ECH1	ECH1	"Enoyl Coenzyme A hydratase 1, peroxisomal"	GO:0004300 GO:0005739 GO:0005777 GO:0006091 GO:0006629 GO:0006631 GO:0006635 GO:0008152 GO:0016853 	hsa00350 hsa00362 hsa00628 	 	 	 
LY64	LY64	none	 	 	 	 	 
PTPRO	PTPRO	"Protein tyrosine phosphatase, receptor type, O"	GO:0004725 GO:0004872 GO:0005001 GO:0005887 GO:0006470 GO:0016020 GO:0016021 GO:0016787 	 	 	 	 
MKNK1	MKNK1	MAP kinase interacting serine/threonine kinase 1	GO:0000166 GO:0004674 GO:0004713 GO:0005515 GO:0005524 GO:0005634 GO:0006445 GO:0006468 GO:0006950 GO:0007243 GO:0016740 	hsa04010 hsa04910 	 	 	 
GNPDA1	GNPDA1	Glucosamine-6-phosphate deaminase 1	GO:0004342 GO:0005975 GO:0006043 GO:0006044 GO:0006091 GO:0007338 GO:0016787 	hsa00530 	 	 	 
PDHB	PDHB	Pyruvate dehydrogenase (lipoamide) beta	GO:0004739 GO:0005739 GO:0006006 GO:0006096 GO:0006099 GO:0016491 	hsa00010 hsa00252 hsa00290 hsa00620 hsa00650 	 	71397 71406 	70096 71389 71391 71393 71395 
ATP5G2	ATP5G2	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)"	GO:0005215 GO:0005624 GO:0005739 GO:0005753 GO:0006811 GO:0008289 GO:0015986 GO:0015992 GO:0016020 GO:0016469 GO:0045263 GO:0046933 GO:0046961 	hsa00190 hsa00193 	 	 	 
C5ORF18	C5ORF18	none	 	 	 	 	 
VCL	VCL	Vinculin	GO:0005198 GO:0005515 GO:0005911 GO:0005912 GO:0005925 GO:0006928 GO:0007155 GO:0008152 GO:0015629 GO:0016491 GO:0030032 GO:0030055 GO:0030334 GO:0030336 GO:0043034 GO:0043234 GO:0043297 GO:0045294 	hsa04510 hsa04520 hsa04670 hsa04810 	 	 	 
TGFBR2	TGFBR2	"Transforming growth factor, beta receptor II (70/80kDa)"	GO:0000166 GO:0000287 GO:0004713 GO:0004872 GO:0005026 GO:0005515 GO:0005524 GO:0006468 GO:0006470 GO:0007178 GO:0008284 GO:0016020 GO:0016021 GO:0016740 GO:0030145 GO:0042127 GO:0045165 	hsa04010 hsa04060 hsa04350 hsa04520 hsa05210 	 	170834	170835 170843 170846 170850 170861 170868 173512 
TPP2	TPP2	Tripeptidyl peptidase II	GO:0004177 GO:0004289 GO:0004294 GO:0005737 GO:0006508 GO:0008233 GO:0008717 	 	 	 	 
SMARCA2	SMARCA2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	GO:0000166 GO:0003677 GO:0003713 GO:0004386 GO:0005515 GO:0005524 GO:0005634 GO:0005654 GO:0006325 GO:0006334 GO:0006350 GO:0006357 GO:0008026 GO:0008285 GO:0016514 GO:0016787 	hsa00500 hsa00790 	 	 	 
PCM1	PCM1	Pericentriolar material 1	GO:0000242 GO:0003677 GO:0003899 GO:0005634 GO:0005737 GO:0006118 GO:0006350 	 	 	 	 
GTF2H2	GTF2H2	none	 	 	 	 	 
SCRN1	SCRN1	Secernin 1	GO:0005554 GO:0005634 GO:0006508 GO:0006887 GO:0008372 GO:0016805 GO:0031965 	 	 	 	 
GTF3C2	GTF3C2	"General transcription factor IIIC, polypeptide 2, beta 110kDa"	GO:0000127 GO:0003709 GO:0005515 GO:0005634 GO:0006350 GO:0006383 	 	 	74158 74159 76046 76061 76066 	76054 76056 76060 83723 83788 83790 83805 112055 112149 112150 112153 112155 
SF3A3	SF3A3	"Splicing factor 3a, subunit 3, 60kDa"	GO:0000389 GO:0000398 GO:0003676 GO:0005634 GO:0005681 GO:0008270 GO:0008380 GO:0031202 GO:0046872 	 	 	72163 72172 72203 74160 75071 75983 76043 112168 112295 	72124 72127 72130 72139 72143 72160 156661 
HERC1	HERC1	Hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	GO:0004842 GO:0005086 GO:0005622 GO:0005737 GO:0005794 GO:0006512 	hsa04120 	 	 	 
LRPPRC	LRPPRC	Leucine-rich PPR-motif containing	GO:0000004 GO:0003697 GO:0003723 GO:0005488 GO:0005634 GO:0005737 GO:0005739 	 	 	 	 
SLC9A6	SLC9A6	"Solute carrier family 9 (sodium/hydrogen exchanger), member 6"	GO:0005739 GO:0005789 GO:0005792 GO:0006810 GO:0006811 GO:0006814 GO:0006885 GO:0015297 GO:0015299 GO:0015385 GO:0016020 GO:0016021 GO:0031402 	 	 	 	 
ADPRT	ADPRT	none	 	 	 	 	 
APEX1	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	GO:0000287 GO:0003677 GO:0003713 GO:0003714 GO:0003906 GO:0004520 GO:0004523 GO:0004528 GO:0004844 GO:0005515 GO:0005634 GO:0005737 GO:0005783 GO:0005840 GO:0006284 GO:0006366 GO:0008408 GO:0016491 GO:0016829 GO:0030503 GO:0048471 GO:0051101 	 	 	73884 73894 73930 73933 110357 110362 110373 110381 	110349 110350 110351 110352 110353 110354 110355 110356 110359 110360 110361 110363 110368 110370 110371 110375 110410 111253 
CAD	CAD	"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	GO:0004070 GO:0004088 GO:0004151 GO:0005524 GO:0005737 GO:0006207 GO:0006221 GO:0006520 GO:0006526 GO:0006541 GO:0006807 GO:0008270 GO:0009058 GO:0009347 GO:0016597 GO:0016740 GO:0016787 GO:0016874 GO:0046872 	hsa00240 hsa00251 hsa00252 	 	15869 73581 73848 	73571 73573 73577 
PCCB	PCCB	"Propionyl Coenzyme A carboxylase, beta polypeptide"	GO:0004075 GO:0004658 GO:0005615 GO:0005739 GO:0009062 GO:0009343 GO:0016874 	hsa00280 hsa00640 	 	71032	71031
CCNH	CCNH	Cyclin H	GO:0000079 GO:0005634 GO:0006281 GO:0006350 GO:0006355 GO:0007049 GO:0016301 	hsa04110 	 	69231 69236 69273 69275 69278 72086 73762 73772 73776 73777 73779 73854 73857 73863 73864 73885 73894 73935 73937 73941 74159 74160 75071 75953 75955 75983 76042 76043 77075 109970 110302 110304 112295 112382 113418 162587 162599 162906 167158 167160 1671	69223 73758 73769 73934 73936 73938 73939 73946 74986 74992 74993 74994 75850 75856 75861 75862 75864 75866 75869 75873 75891 75949 76576 77068 77069 77071 77073 77077 77078 77081 77083 77085 77090 109639 109953 109973 109974 109975 109976 111264 112379 1
HADHB	HADHB	"Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit"	GO:0003857 GO:0003988 GO:0004300 GO:0005739 GO:0005740 GO:0006629 GO:0006631 GO:0006635 GO:0008415 GO:0016740 	hsa00062 hsa00071 hsa00120 hsa00280 hsa00362 	 	73923 77285 77286 77288 77289 77305 77310 77346 77348 77350 	77271 77277 77283 77301 77303 77304 77309 77321 77329 77340 109339 109342 
ACADM	ACADM	"Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	GO:0003995 GO:0005739 GO:0005759 GO:0006118 GO:0006629 GO:0006631 GO:0006635 GO:0008152 GO:0050660 	hsa00071 hsa00280 hsa00410 hsa00640 	 	73923 77286 77288 77289 77346 77348 	77338 77345 109341 
SCP2	SCP2	Sterol carrier protein 2	GO:0004770 GO:0005498 GO:0005515 GO:0005739 GO:0005777 GO:0006637 GO:0006694 GO:0006869 GO:0007031 GO:0008152 GO:0008289 GO:0016491 GO:0016740 	 	 	 	 
UQCRC2	UQCRC2	Ubiquinol-cytochrome c reductase core protein II	GO:0004222 GO:0005739 GO:0005743 GO:0005746 GO:0006118 GO:0006119 GO:0006508 GO:0008121 GO:0009060 GO:0016020 GO:0016491 	hsa00190 	 	163200	164651
ETFA	ETFA	"Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)"	GO:0005739 GO:0005759 GO:0006118 GO:0009055 GO:0017133 GO:0050660 	 	 	163200	169260 169270 
CCNG1	CCNG1	Cyclin G1	GO:0000079 GO:0005634 GO:0007049 GO:0007067 GO:0051301 	 	 	 	 
NDUFS1	NDUFS1	"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)"	GO:0003954 GO:0005506 GO:0005624 GO:0005739 GO:0005747 GO:0006118 GO:0006120 GO:0008137 GO:0009055 GO:0016491 GO:0046872 GO:0051537 GO:0051539 	hsa00190 	 	163200	163217
SDHC	SDHC	"Succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"	GO:0000104 GO:0006099 GO:0006118 GO:0016020 GO:0005506 GO:0005739 GO:0016021 GO:0045273 GO:0046872 	hsa00020 hsa00190 	 	71403 71406 163200 	70994 163213 
GLG1	GLG1	Golgi apparatus protein 1	GO:0000139 GO:0005102 GO:0005794 GO:0016020 GO:0016021 GO:0017134 	hsa04514 	 	 	 
FGFR1	FGFR1	"Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"	GO:0000165 GO:0000166 GO:0001501 GO:0001759 GO:0004674 GO:0004713 GO:0004872 GO:0005007 GO:0005515 GO:0005524 GO:0005615 GO:0005624 GO:0005887 GO:0006468 GO:0007420 GO:0007435 GO:0008201 GO:0008543 GO:0016020 GO:0016021 GO:0016049 GO:0016740 GO:0030324 GO	hsa04010 hsa04520 hsa04810 	 	 	 
ITGB5	ITGB5	"Integrin, beta 5"	GO:0004872 GO:0005178 GO:0005515 GO:0005615 GO:0007155 GO:0007160 GO:0007229 GO:0007275 GO:0008305 GO:0016020 GO:0016021 	hsa04510 hsa04512 hsa04810 	 	 	 
SPARC	SPARC	"Secreted protein, acidic, cysteine-rich (osteonectin)"	GO:0001503 GO:0005507 GO:0005509 GO:0005518 GO:0005576 GO:0005604 GO:0005615 GO:0007169 	 	 	75178 76005 109582 114608 114611 	114644
FCN1	FCN1	Ficolin (collagen/fibrinogen domain containing) 1	GO:0003823 GO:0005509 GO:0005529 GO:0005737 GO:0006817 GO:0008228 	 	 	 	 
CD9	CD9	CD9 molecule	GO:0005515 GO:0005886 GO:0005887 GO:0006928 GO:0007155 GO:0007342 GO:0030168 GO:0030913 	hsa04640 	 	75178 76005 109582 114608 114611 	114692
ADFP	ADFP	Adipose differentiation-related protein	GO:0005576 GO:0005634 GO:0005783 GO:0005811 GO:0005886 GO:0015909 GO:0016020 GO:0019915 	 	 	 	 
FEZ2	FEZ2	Fasciculation and elongation protein zeta 2 (zygin II)	GO:0005515 GO:0007165 GO:0007399 GO:0007411 	 	 	 	 
PRKACB	PRKACB	"Protein kinase, cAMP-dependent, catalytic, beta"	GO:0000166 GO:0000287 GO:0004672 GO:0004674 GO:0004691 GO:0004713 GO:0005524 GO:0005634 GO:0005952 GO:0006468 GO:0007165 GO:0007188 GO:0016740 	hsa04010 hsa04020 hsa04210 hsa04310 hsa04340 hsa04540 hsa04720 hsa04740 hsa04742 hsa04910 hsa04912 	 	73923 163358 163359 163560 163685 164378 	111924 111925 163416 163418 163672 163676 163773 
LBR	LBR	Lamin B receptor	GO:0003676 GO:0003677 GO:0004872 GO:0005521 GO:0005634 GO:0005637 GO:0005639 GO:0005652 GO:0016020 GO:0016021 	 	 	 	 
PNN	PNN	"Pinin, desmosome associated protein"	GO:0003677 GO:0005634 GO:0006350 GO:0006355 GO:0007049 GO:0045786 	 	 	 	 
RASA1	RASA1	RAS p21 protein activator (GTPase activating protein) 1	GO:0000910 GO:0001570 GO:0001953 GO:0005099 GO:0005102 GO:0005515 GO:0005737 GO:0007155 GO:0007162 GO:0007242 GO:0008360 GO:0009790 GO:0019870 GO:0030036 GO:0030833 GO:0043524 GO:0045768 GO:0051020 GO:0051252 	hsa04010 hsa04360 hsa05040 	 	 	 
RANBP2	RANBP2	RAN binding protein 2	GO:0003755 GO:0005488 GO:0005622 GO:0005634 GO:0005643 GO:0006457 GO:0006606 GO:0008270 GO:0008536 GO:0016853 GO:0046872 GO:0046907 	 	 	162587 162599 162906 162909 165054 168254 168255 168271 176033 177243 180910 	165043 165047 168337 180622 
PRKDC	PRKDC	"Protein kinase, DNA-activated, catalytic polypeptide"	GO:0000723 GO:0003677 GO:0004677 GO:0005515 GO:0005524 GO:0005634 GO:0006302 GO:0006303 GO:0006310 GO:0006464 GO:0006915 GO:0016740 GO:0016773 	hsa04110 	 	73889 73890 73894 75924 	75916 75920 75922 75928 76303 175585 175588 
TOPBP1	TOPBP1	Topoisomerase (DNA) II binding protein 1	GO:0000794 GO:0003677 GO:0005622 GO:0005634 GO:0006281 GO:0008022 	 	 	 	 
PHKB	PHKB	"Phosphorylase kinase, beta"	GO:0004689 GO:0005516 GO:0005975 GO:0005980 GO:0006091 GO:0008607 GO:0016020 	hsa04020 hsa04910 	 	70172 70221 70326 71387 71408 	71541 71588 
PSIP1	PSIP1	PC4 and SFRS1 interacting protein 1	GO:0003677 GO:0005634 GO:0006350 GO:0006355 	 	 	162906 162909 176033 180910 	180622 180627 
CBX1	CBX1	Chromobox homolog 1 (HP1 beta homolog Drosophila )	GO:0000775 GO:0000785 GO:0003682 GO:0005515 GO:0005634 GO:0005654 GO:0005720 GO:0006333 	 	 	 	 
STAM	STAM	Signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	GO:0005070 GO:0005515 GO:0006886 GO:0007165 	hsa04630 	 	 	 
AGL	AGL	"Amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)"	GO:0004133 GO:0004134 GO:0004135 GO:0005975 GO:0005977 GO:0005978 GO:0016740 GO:0016757 GO:0016798 GO:0043033 GO:0043169 	hsa00500 	 	70183 70189 70221 70326 71387 71408 	71552 71553 71593 71594 
PIK3R4	PIK3R4	"Phosphoinositide-3-kinase, regulatory subunit 4, p150"	GO:0000166 GO:0004674 GO:0005524 GO:0006468 GO:0008372 GO:0016740 	hsa04140 	 	 	 
RBL2	RBL2	Retinoblastoma-like 2 (p130)	GO:0003677 GO:0005515 GO:0005634 GO:0005667 GO:0006350 GO:0006355 GO:0007049 GO:0045786 	hsa04110 hsa04350 	 	 	 
EVI2A	EVI2A	Ecotropic viral integration site 2A	GO:0004888 GO:0016020 GO:0016021 	 	 	 	 
LRMP	LRMP	Lymphoid-restricted membrane protein	GO:0005783 GO:0005789 GO:0005887 GO:0006903 GO:0006906 GO:0007516 GO:0016020 GO:0016021 	 	 	 	 
ARHGEF6	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	GO:0005089 GO:0005096 GO:0005622 GO:0006915 GO:0007254 GO:0035023 	hsa04810 	 	 	 
PRKCBP1	PRKCBP1	Protein kinase C binding protein 1	GO:0005515 GO:0006355 GO:0008270 GO:0016301 GO:0046872 	 	 	 	 
KIAA0240	KIAA0240	KIAA0240	 	 	 	 	 
MKRN4	MKRN4	none	 	 	 	 	 
SSA2	SSA2	none	 	 	 	 	 
NRIP1	NRIP1	Nuclear receptor interacting protein 1	GO:0000118 GO:0000122 GO:0001543 GO:0003713 GO:0003714 GO:0005102 GO:0005515 GO:0005634 GO:0006350 GO:0019915 GO:0030331 GO:0030521 GO:0030728 GO:0035257 GO:0035259 GO:0042826 GO:0045944 GO:0046965 GO:0050681 	 	 	 	 
TLR1	TLR1	Toll-like receptor 1	GO:0004888 GO:0005886 GO:0005887 GO:0007165 GO:0007250 GO:0016020 GO:0042116 GO:0042495 GO:0042497 GO:0042535 GO:0045087 GO:0045335 GO:0045410 	hsa04620 	 	166016 166054 166058 168179 168188 168249 168256 168898 181438 	166072 166082 166091 166119 166284 166286 166362 168951 
MERTK	MERTK	C-mer proto-oncogene tyrosine kinase	GO:0000166 GO:0004674 GO:0004714 GO:0004872 GO:0005524 GO:0005615 GO:0005625 GO:0005887 GO:0006468 GO:0007166 GO:0007267 GO:0007601 GO:0016020 GO:0016021 GO:0016740 GO:0050896 	 	 	 	 
PPP2R5C	PPP2R5C	"Protein phosphatase 2, regulatory subunit B (B56), gamma isoform"	GO:0000159 GO:0005634 GO:0007165 GO:0008233 GO:0008601 GO:0016021 GO:0016485 	 	 	 	 
PEX19	PEX19	Peroxisomal biogenesis factor 19	GO:0005515 GO:0005737 GO:0005777 GO:0006625 GO:0016020 GO:0016021 	 	 	 	 
MMD	MMD	Monocyte to macrophage differentiation-associated	GO:0004872 GO:0005624 GO:0005887 GO:0016020 GO:0019835 	 	 	 	 
RAB11A	RAB11A	"RAB11A, member RAS oncogene family"	GO:0000160 GO:0000166 GO:0000178 GO:0003677 GO:0003924 GO:0005215 GO:0005515 GO:0005525 GO:0005622 GO:0005802 GO:0006355 GO:0006364 GO:0007264 GO:0008565 GO:0019905 GO:0048227 	 	 	 	 
FNTA	FNTA	"Farnesyltransferase, CAAX box, alpha"	GO:0004660 GO:0004662 GO:0005737 GO:0007179 GO:0008318 GO:0016740 GO:0018346 GO:0018347 GO:0018348 GO:0030548 GO:0045213 	 	 	 	 
CRYZ	CRYZ	"Crystallin, zeta (quinone reductase)"	GO:0003960 GO:0007601 GO:0008270 GO:0016491 	 	 	 	 
MUT	MUT	Methylmalonyl Coenzyme A mutase	GO:0004494 GO:0005739 GO:0008152 GO:0009791 GO:0016853 GO:0031419 GO:0046872 GO:0050897 	hsa00280 hsa00640 	 	71032	71010
PXMP3	PXMP3	"Peroxisomal membrane protein 3, 35kDa (Zellweger syndrome)"	GO:0001764 GO:0005515 GO:0005777 GO:0005779 GO:0007031 GO:0007399 GO:0008270 GO:0016020 GO:0016021 GO:0046872 	 	p65_(+LPS)	 	 
MAN2A2	MAN2A2	"Mannosidase, alpha, class 2A, member 2"	 	hsa00510 hsa01030 	 	 	 
KPNA3	KPNA3	Karyopherin alpha 3 (importin alpha 4)	GO:0005488 GO:0005515 GO:0005634 GO:0005643 GO:0006461 GO:0006607 GO:0006886 GO:0008139 GO:0008565 	 	 	 	 
EIF4G3	EIF4G3	"Eukaryotic translation initiation factor 4 gamma, 3"	GO:0000339 GO:0003723 GO:0003743 GO:0005515 GO:0006446 GO:0016281 	 	 	 	 
ACOX1	ACOX1	"Acyl-Coenzyme A oxidase 1, palmitoyl"	GO:0003995 GO:0003997 GO:0005739 GO:0005777 GO:0005778 GO:0006118 GO:0006629 GO:0006635 GO:0006693 GO:0007283 GO:0009053 GO:0016491 GO:0050660 	hsa00071 	 	 	 
AP3B1	AP3B1	"Adaptor-related protein complex 3, beta 1 subunit"	GO:0005488 GO:0005794 GO:0005802 GO:0005905 GO:0006622 GO:0006886 GO:0006897 GO:0016192 GO:0030333 GO:0048007 GO:0051138 	 	 	 	 
CALM3	CALM3	"Calmodulin 3 (phosphorylase kinase, delta)"	GO:0005509 GO:0005515 GO:0005737 GO:0005886 GO:0007186 GO:0031997 	hsa04020 hsa04070 hsa04720 hsa04740 hsa04910 hsa04912 hsa05040 	 	70172 70221 70326 71387 71408 	71541 71588 111955 
IDH2	IDH2	"Isocitrate dehydrogenase 2 (NADP+), mitochondrial"	GO:0004450 GO:0005739 GO:0005743 GO:0005975 GO:0006097 GO:0006099 GO:0008152 GO:0016491 GO:0016652 	hsa00020 hsa00480 hsa00720 	 	 	 
PEPD	PEPD	Peptidase D	GO:0004251 GO:0006508 GO:0006520 GO:0008472 GO:0030145 GO:0030574 GO:0046872 	 	 	 	 
PPT1	PPT1	"Palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)"	GO:0005615 GO:0005764 GO:0006464 GO:0007399 GO:0007601 GO:0007625 GO:0008344 GO:0008474 GO:0016787 GO:0050896 	hsa00062 	 	 	 
DPYSL2	DPYSL2	Dihydropyrimidinase-like 2	GO:0004157 GO:0005739 GO:0006139 GO:0007165 GO:0007399 GO:0016787 GO:0030424 GO:0030425 GO:0043025 	hsa04360 	 	 	 
BTK	BTK	Bruton agammaglobulinemia tyrosine kinase	GO:0000166 GO:0004674 GO:0004713 GO:0005515 GO:0005524 GO:0005737 GO:0006468 GO:0007242 GO:0007249 GO:0007498 GO:0008270 GO:0008624 GO:0016740 GO:0018108 GO:0019722 GO:0031410 GO:0045121 GO:0046872 	hsa04662 hsa04664 	 	 	 
MAPRE2	MAPRE2	"Microtubule-associated protein, RP/EB family, member 2"	GO:0005874 GO:0006968 GO:0007049 GO:0007067 GO:0007165 GO:0008017 GO:0008283 GO:0051301 	 	 	 	 
SEC14L1	SEC14L1	SEC14-like 1 (S. cerevisiae)	GO:0005215 GO:0005488 GO:0005622 GO:0005794 GO:0006810 GO:0016020 	 	 	 	 
PECAM1	PECAM1	Platelet/endothelial cell adhesion molecule (CD31 antigen)	GO:0005515 GO:0005886 GO:0005911 GO:0006928 GO:0007155 GO:0007165 GO:0007266 GO:0008037 GO:0016021 GO:0030334 GO:0042060 GO:0045121 	hsa04514 hsa04670 	 	75178 76005 109582 114608 114611 	114695
MAN2A1	MAN2A1	"Mannosidase, alpha, class 2A, member 1"	GO:0000139 GO:0004559 GO:0004572 GO:0005624 GO:0005794 GO:0005975 GO:0006013 GO:0009101 GO:0016020 GO:0016021 GO:0016798 	hsa00510 hsa01030 	 	 	 
DNASE1L1	DNASE1L1	Deoxyribonuclease I-like 1	GO:0003677 GO:0004519 GO:0004536 GO:0005783 GO:0006308 GO:0016787 	 	 	 	 
UROS	UROS	Uroporphyrinogen III synthase (congenital erythropoietic porphyria)	GO:0004852 GO:0006780 GO:0006783 GO:0016829 	hsa00860 	 	 	 
HMOX1	HMOX1	Heme oxygenase (decycling) 1	GO:0004392 GO:0004871 GO:0005506 GO:0005624 GO:0005783 GO:0005792 GO:0006788 GO:0016021 GO:0016491 GO:0043123 GO:0046872 GO:0050896 	hsa00860 	 	 	 
DAB2	DAB2	"Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"	GO:0000904 GO:0001701 GO:0005515 GO:0006898 GO:0006907 GO:0007588 GO:0008283 	 	 	 	 
NAGA	NAGA	"N-acetylgalactosaminidase, alpha-"	GO:0004553 GO:0005764 GO:0005975 GO:0008456 	hsa00603 	 	 	 
TRAM2	TRAM2	Translocation associated membrane protein 2	GO:0006605 GO:0015031 GO:0016020 GO:0016021 	 	 	 	 
EPHX1	EPHX1	"Epoxide hydrolase 1, microsomal (xenobiotic)"	GO:0004177 GO:0004301 GO:0005615 GO:0005783 GO:0005792 GO:0006508 GO:0006805 GO:0009636 GO:0016020 GO:0016021 GO:0016787 GO:0019439 	hsa00980 	 	 	 
NME3	NME3	"Non-metastatic cells 3, protein expressed in"	GO:0000166 GO:0000287 GO:0004550 GO:0005524 GO:0005615 GO:0006183 GO:0006228 GO:0006241 GO:0006915 GO:0006917 GO:0009117 GO:0016301 GO:0016740 	hsa00230 hsa00240 	 	15869 110580 110624 	110623 110635 110650 110651 110666 110667 110678 110679 110691 110692 110705 110706 110717 110718 110729 110730 
PCK2	PCK2	Phosphoenolpyruvate carboxykinase 2 (mitochondrial)	GO:0000166 GO:0004611 GO:0004613 GO:0005525 GO:0005739 GO:0006094 GO:0016829 GO:0030145 	hsa00020 hsa00620 hsa04910 hsa04920 	 	 	 
HAGH	HAGH	Hydroxyacylglutathione hydrolase	GO:0004416 GO:0008270 GO:0016787 GO:0046872 	hsa00620 	 	 	 
